,code,mean_profit,win_rate,sharpe_ratio,trade_times,odds,exp_return,sector
139,ITA,0.5652070169522970,0.37681159420289900,0.13665415939580800,69,2.4068741384598900,1.455085756005600,Italy
42,IGF,0.5720643541534530,0.42424242424242400,0.1589065424065620,66,2.2154176859627300,1.632129556628490,infrustructure
81,VNQI,0.5867501778058010,0.45,0.18566363521801300,120,1.9858954363172800,1.624528170046860,Real Estate
151,VNQI,0.5867501778058010,0.45,0.18566363521801300,120,1.9858954363172800,1.624528170046860,Real Estate
71,INDA,0.5872962213200520,0.38571428571428600,0.14161961196841700,70,2.4281341056156700,1.5243941881931600,India
87,SPYD,0.6163556491174110,0.4827586206896550,0.17393279429737500,58,1.7037499515360400,1.5898592486455700,High Dividends
9,IWM,0.6401124484235540,0.352112676056338,0.11424939586009000,71,2.7362741392442900,1.4868760143783700,Russell 2000
115,PEJ,0.6486982774953920,0.3384615384615390,0.11233414173929800,65,2.910870465916230,1.4890574738738800,Consumer Discretionary
89,DVY,0.6658353214795320,0.4142857142857140,0.17822735668543300,70,2.5429694701361900,1.7983786825163900,High Dividends
82,VNQ,0.6775857235830400,0.40625,0.16069226904288800,128,2.2965367827216800,1.5710500429076100,Real Estate
150,VNQ,0.6775857235830400,0.40625,0.16069226904288800,128,2.2965367827216800,1.5710500429076100,Real Estate
124,XLF,0.6841121119128150,0.484375,0.15719428975814500,64,1.6183452231510000,1.5199689126254600,Finance
10,MTUM,0.6875793749941880,0.391304347826087,0.15948420018014900,69,2.5511518004754900,1.639756768836500,Momentum factor
58,EZU,0.6963967785929270,0.41935483870967700,0.15680746333118300,62,2.2668228919194500,1.6368679613484800,Europe
13,SPLV,0.7097927722947030,0.35135135135135100,0.23735573042001500,74,3.6353109390993900,1.9688232317639400,Low Volatility
90,DIV,0.7147359414285770,0.41935483870967700,0.16385782870898100,62,2.62628620966947,1.8964356541764000,High Dividends
116,XLP,0.7217130501330170,0.4153846153846150,0.26786571693049500,65,3.1263539767396700,2.2209768690084900,Consumer staple
51,VT,0.7493362514955060,0.4126984126984130,0.17527934300835700,63,2.5039642304118000,1.7592428854197000,Total Stock
22,RSPR,0.75529931940585,0.4339622641509430,0.17507994926877700,53,2.1842864768284400,1.6743238350242800,Real Estate
147,URA,0.7631147334751400,0.34375,0.07644204335619870,64,2.437791491666630,1.276743848953160,Finance
159,FDN,0.7870683852988750,0.4057971014492750,0.12705273367173200,69,2.2323019767703800,1.5242423921235400,Technology
50,ACWI,0.7936318467255570,0.4126984126984130,0.1895297558102460,63,2.6275519420062000,1.8460735197023500,Global Markets
140,IYT,0.7993995247234720,0.38461538461538500,0.14886151364628500,65,2.450991810525320,1.5316209931669400,Industrials
18,RSPF,0.8003047708694500,0.36764705882352900,0.1612824010810890,68,2.8437748969005500,1.6530960783530500,Finance
125,VFH,0.8221032387964810,0.44776119402985100,0.19450919892755500,67,2.129895248902810,1.7266294337804900,Finance
11,SPHB,0.841677891514438,0.4117647058823530,0.12789208598543000,68,2.108974602025890,1.4760312960977900,High Beta Factor
142,XLB,0.8423395014801250,0.4642857142857140,0.1877844918421960,56,2.021489743483790,1.7516308066020500,Materials
