,sell_reason,buy_time,buy_price,sell_time,sell_price,max_price,profit,real_profit
0,important position stop loss 11952.547,2023/03/01 16:35,11976.5,2023/03/01 19:58,11952.0,11991.75,-0.20456727758527116,-51.8
1,retrace from max,2023/03/03 03:10,12047.25,2023/03/03 07:43,12088.62,12125.0,0.34339787088340323,79.9400000000016
2,ma60 dead cross,2023/03/08 10:35,12217.0,2023/03/08 15:44,12222.5,12254.5,0.0450192354915282,8.2
3,important position stop loss 12789.6195,2023/03/28 02:10,12815.25,2023/03/28 03:22,12786.75,12833.5,-0.22239129162521218,-59.8
4,retrace from max,2023/03/31 08:40,13113.0,2023/03/31 15:45,13264.34,13304.25,1.1541218637992843,299.8800000000003
5,important position stop loss 13051.0,2023/04/12 08:35,13229.5,2023/04/12 09:48,13037.5,13241.0,-1.4513020144374313,-386.8
6,retrace from max,2023/04/13 08:40,12995.5,2023/04/13 16:44,13188.81,13228.5,1.48751490900696,383.81999999999897
7,important position stop loss 13127.0,2023/04/14 09:45,13211.5,2023/04/14 10:43,13120.5,13255.0,-0.688793853839458,-184.8
8,ma60 dead cross,2023/04/14 14:30,13152.75,2023/04/16 21:00,13177.0,13214.75,0.1843720894869894,45.7
9,retrace from max,2023/04/24 05:15,13048.0,2023/04/24 09:32,13060.2,13099.5,0.09350091968118276,21.600000000001454
10,retrace from max,2023/04/25 16:20,12901.0,2023/04/25 18:01,12924.11,12963.0,0.17913340051159277,43.42000000000117
11,important position stop loss 13284.877,2023/05/01 10:00,13311.5,2023/05/01 10:26,13284.25,13317.75,-0.2047102129737445,-57.3
12,ma60 dead cross,2023/05/01 21:40,13302.75,2023/05/02 05:02,13303.25,13334.5,0.003758621337693334,-1.7999999999999998
13,ma60 dead cross,2023/05/12 15:40,13375.75,2023/05/14 21:22,13380.0,13402.5,0.03177391921948302,5.7
14,retrace from max,2023/05/16 09:50,13503.75,2023/05/16 14:32,13513.59,13554.25,0.07286864759789055,16.88000000000029
15,important position stop loss 14340.5115,2023/05/31 06:50,14369.25,2023/05/31 07:46,14339.0,14381.75,-0.21051899020477757,-63.3
16,important position stop loss 14318.0,2023/05/31 09:45,14384.75,2023/05/31 10:18,14316.5,14412.25,-0.4744608005005301,-139.3
17,ma60 dead cross,2023/06/01 10:10,14319.25,2023/06/01 10:41,14331.5,14335.75,0.08554917331564153,21.7
18,important position stop loss 14527.75,2023/06/02 09:35,14618.75,2023/06/02 09:51,14523.25,14627.75,-0.6532706284737068,-193.8
19,retrace from max,2023/06/13 08:45,15099.75,2023/06/13 09:22,15106.29,15151.75,0.043311975363836304,10.280000000001746
20,retrace from max,2023/06/22 09:45,15048.25,2023/06/22 10:41,15103.8,15149.25,0.36914591397670343,108.29999999999855
21,retrace from max,2023/06/28 09:40,15077.0,2023/06/28 11:12,15161.13,15206.75,0.5580022550905299,165.4599999999984
22,retrace from max,2023/07/25 09:46,15646.75,2023/07/25 15:00,15688.79,15736.0,0.26868199466343407,81.28000000000175
23,ma60 dead cross,2023/07/27 11:46,15809.25,2023/07/27 12:17,15833.25,15839.75,0.1518098581526638,45.2
24,retrace from max,2023/08/03 10:56,15392.0,2023/08/03 13:36,15477.18,15523.75,0.5534043659043678,167.56000000000057
25,retrace from max,2023/08/03 16:16,15511.0,2023/08/04 03:02,15514.32,15561.0,0.02140416478627883,3.839999999999418
26,retrace from max,2023/08/22 20:16,14983.5,2023/08/23 06:32,15037.75,15083.0,0.3620649380985751,105.7
27,retrace from max,2023/08/31 09:36,15518.0,2023/08/31 10:53,15559.93,15606.75,0.27020234566310275,81.06000000000058
28,ma60 dead cross,2023/09/05 08:56,15487.5,2023/09/05 10:12,15490.5,15506.5,0.019370460048426148,3.2
29,retrace from max,2023/10/02 09:46,14946.5,2023/10/02 10:13,14947.77,14992.75,0.008496972535379095,-0.2599999999991267
30,ma60 dead cross,2023/10/09 09:51,15049.5,2023/10/10 00:01,15213.75,15237.75,1.0913983853284162,325.7
31,retrace from max,2023/10/24 09:46,14785.5,2023/10/24 10:04,14787.01,14831.5,0.010212708396741526,0.22000000000043674
32,retrace from max,2023/10/30 09:41,14416.75,2023/10/30 10:03,14432.82,14476.25,0.11146756377130568,29.339999999999417
33,important position stop loss 15193.8015,2023/11/06 12:01,15224.25,2023/11/06 12:47,15191.75,15224.25,-0.21347521224362448,-67.8
34,ma60 dead cross,2023/11/08 03:21,15355.75,2023/11/08 04:43,15357.5,15368.5,0.011396382462595445,0.7000000000000002
35,ma60 dead cross,2023/11/16 00:11,15857.0,2023/11/16 04:11,15857.75,15873.25,0.004729772340291353,-1.2999999999999998
36,important position stop loss 15836.763,2023/11/16 05:31,15868.5,2023/11/16 07:12,15833.0,15871.5,-0.22371364653243847,-73.8
37,ma60 dead cross,2023/11/20 09:36,15973.0,2023/11/20 23:56,16108.25,16122.5,0.8467413760721217,267.7
38,ma60 dead cross,2023/11/22 03:16,15973.5,2023/11/22 04:08,15976.0,15981.75,0.015650921839296335,2.2
39,important position stop loss 15944.5,2023/12/04 03:41,15987.25,2023/12/04 06:56,15943.5,16003.25,-0.2736555692817714,-90.3
40,important position stop loss 15825.5,2023/12/04 12:46,15859.75,2023/12/04 13:28,15824.5,15868.25,-0.22226075442551113,-73.3
41,important position stop loss 16426.581,2024/01/08 02:16,16459.5,2024/01/08 03:57,16425.5,16459.5,-0.2065676357118989,-70.8
